"","cas_number","ParameterName","chem_source","chemical_class"
"839","29082-74-4","Octachlorostyrene","industrial","Unclassified"
"840","152-16-9","Octamethyl pyrophosphoramide","pesticide","Unclassified"
"841","58810-48-3","Ofurace","pesticide","Unclassified"
"842","1113-02-6","Omethoate","pesticide","Unclassified"
"843","34622-58-7","Orbencarb","pesticide","Unclassified"
"844","97-56-3","ortho-Aminoazotoluene","industrial","Unclassified"
"845","19044-88-3","Oryzalin","pesticide","Unclassified"
"846","74782-23-3","Oxabetrinil","pesticide","Unclassified"
"847","19666-30-9","Oxadiazon","pesticide","Unclassified"
"848","77732-09-3","Oxadixyl","pesticide","Unclassified"
"849","23135-22-0","Oxamyl","pesticide","Unclassified"
"850","5259-88-1","Oxycarboxin","pesticide","Unclassified"
"851","27304-13-8","Oxychlordane","pesticide","Unclassified"
"852","301-12-2","Oxydemeton-methyl","pesticide","Unclassified"
"853","42874-03-3","Oxyfluorfen","pesticide","Unclassified"
"854","106-46-7","p-Dichlorobenzene","industrial;pesticide;pesticide","Unclassified"
"855","99-99-0","p-Nitrotoluene","industrial","Unclassified"
"856","106-49-0","p-toluidine","industrial","aniline"
"857","101-76-8","p,p'-DDM [bis(4-chlorophenyl)methane]","industrial","Unclassified"
"858","3988-03-2","p,p'-Dibromobenzophenone","pesticide","Unclassified"
"859","115-32-2","p,p'-Dicofol","pesticide","Unclassified"
"860","76738-62-0","Paclobutrazol","pesticide","Unclassified"
"861","311-45-5","Paraoxon","pharmacological;pesticide","Unclassified"
"862","56-38-2","Parathion-ethyl","pesticide","Unclassified"
"863","298-00-0","Parathion-methyl","pesticide;pesticide","Unclassified"
"864","2052-07-5","PBB 1","flameRetardant","PBB"
"865","59080-32-9","PBB 10","flameRetardant","PBB"
"866","67888-96-4","PBB 101","flameRetardant","PBB"
"867","92-86-4","PBB 15","flameRetardant","PBB"
"868","60044-26-0","PBB 169","flameRetardant","PBB"
"869","59080-34-1","PBB 18","flameRetardant","PBB"
"870","2113-57-7","PBB 2","flameRetardant","PBB"
"871","59080-35-2","PBB 26","flameRetardant","PBB"
"872","115245-07-3","PBB 29","flameRetardant","PBB"
"873","92-66-0","PBB 3","flameRetardant","PBB"
"874","59080-33-0","PBB 30","flameRetardant","PBB"
"875","59080-36-3","PBB 31","flameRetardant","PBB"
"876","13029-09-9","PBB 4","flameRetardant","PBB"
"877","60044-24-8","PBB 49","flameRetardant","PBB"
"878","59080-37-4","PBB 52","flameRetardant","PBB"
"879","60044-25-9","PBB 53","flameRetardant","PBB"
"880","53592-10-2","PBB 7","flameRetardant","PBB"
"881","77102-82-0","PBB 77","flameRetardant","PBB"
"882","16400-50-3","PBB 80","flameRetardant","PBB"
"883","57422-77-2","PBB 9","flameRetardant","PBB"
"884","67888-96-4","PBB-101","flameRetardant","PBB"
"885","59080-39-6","PBB-103","flameRetardant","PBB"
"886","96551-70-1","PBB-114","flameRetardant","PBB"
"887","81381-52-4","PBB-137","flameRetardant","PBB"
"888","120991-47-1","PBB-141","flameRetardant","PBB"
"889","59080-40-9","PBB-153","flameRetardant","PBB"
"890","59261-08-4","PBB-155","flameRetardant","PBB"
"891","77607-09-1","PBB-156","flameRetardant","PBB"
"892","120991-48-2","PBB-159","flameRetardant","PBB"
"893","60044-26-0","PBB-169","flameRetardant","PBB"
"894","67733-52-2","PBB-180","flameRetardant","PBB"
"895","88700-06-5","PBB-189","flameRetardant","PBB"
"896","119264-60-7","PBB-200","flameRetardant","PBB"
"897","7025-06-1","PBDE 1","flameRetardant","PBDE"
"898","51930-04-2","PBDE 10","flameRetardant","PBDE"
"899","189084-64-8","PBDE 100","flameRetardant","PBDE"
"900","446254-67-7","PBDE 103","flameRetardant","PBDE"
"901","446254-71-3","PBDE 108","flameRetardant","PBDE"
"902","6903-63-5","PBDE 11","flameRetardant","PBDE"
"903","446254-78-0","PBDE 115","flameRetardant","PBDE"
"904","189084-65-9","PBDE 116","flameRetardant","PBDE"
"905","446254-80-4","PBDE 118","flameRetardant","PBDE"
"906","189084-66-0","PBDE 119","flameRetardant","PBDE"
"907","189084-59-1","PBDE 12","flameRetardant","PBDE"
"908","446254-86-0","PBDE 127","flameRetardant","PBDE"
"909","182677-28-7","PBDE 128","flameRetardant","PBDE"
"910","83694-71-7","PBDE 13","flameRetardant","PBDE"
"911","182677-30-1","PBDE 138","flameRetardant","PBDE"
"912","446254-98-4","PBDE 142","flameRetardant","PBDE"
"913","446255-00-1","PBDE 144","flameRetardant","PBDE"
"914","2050-47-7","PBDE 15","flameRetardant","PBDE"
"915","68631-49-2","PBDE 153","flameRetardant","PBDE"
"916","207122-15-4","PBDE 154","flameRetardant","PBDE"
"917","35854-94-5","PBDE 155","flameRetardant","PBDE"
"918","446255-11-4","PBDE 160","flameRetardant","PBDE"
"919","189084-58-0","PBDE 166","flameRetardant","PBDE"
"920","147217-75-2","PBDE 17","flameRetardant","PBDE"
"921","405237-86-7","PBDE 185","flameRetardant","PBDE"
"922","147217-73-0","PBDE 19","flameRetardant","PBDE"
"923","6876-00-2","PBDE 2","flameRetardant","PBDE"
"924","446255-50-1","PBDE 201","flameRetardant","PBDE"
"925","337513-67-4","PBDE 21","flameRetardant","PBDE"
"926","147217-77-4","PBDE 25","flameRetardant","PBDE"
"927","337513-75-4","PBDE 26","flameRetardant","PBDE"
"928","337513-53-8","PBDE 27","flameRetardant","PBDE"
"929","41318-75-6","PBDE 28","flameRetardant","PBDE"
"930","101-55-3","PBDE 3","flameRetardant","PBDE"
"931","155999-95-4","PBDE 30","flameRetardant","PBDE"
"932","65075-08-3","PBDE 31","flameRetardant","PBDE"
"933","189084-60-4","PBDE 32","flameRetardant","PBDE"
"934","147217-78-5","PBDE 33","flameRetardant","PBDE"
"935","147217-80-9","PBDE 35","flameRetardant","PBDE"
"936","147217-81-0","PBDE 37","flameRetardant","PBDE"
"937","51452-87-0","PBDE 4","flameRetardant","PBDE"
"938","5436-43-1","PBDE 47","flameRetardant","PBDE"
"939","243982-82-3","PBDE 49","flameRetardant","PBDE"
"940","446254-23-5","PBDE 50","flameRetardant","PBDE"
"941","189084-57-9","PBDE 51","flameRetardant","PBDE"
"942","147217-72-9","PBDE 6","flameRetardant","PBDE"
"943","446254-33-7","PBDE 62","flameRetardant","PBDE"
"944","189084-61-5","PBDE 66","flameRetardant","PBDE"
"945","327185-09-1","PBDE 69","flameRetardant","PBDE"
"946","171977-44-9","PBDE 7","flameRetardant","PBDE"
"947","189084-62-6","PBDE 71","flameRetardant","PBDE"
"948","189084-63-7","PBDE 75","flameRetardant","PBDE"
"949","93703-48-1","PBDE 77","flameRetardant","PBDE"
"950","147217-71-8","PBDE 8","flameRetardant","PBDE"
"951","182346-21-0","PBDE 85","flameRetardant","PBDE"
"952","446254-55-3","PBDE 88","flameRetardant","PBDE"
"953","446254-56-4","PBDE 89","flameRetardant","PBDE"
"954","337513-66-3","PBDE 9","flameRetardant","PBDE"
"955","60348-60-9","PBDE 99","flameRetardant","PBDE"
"956","1114-71-2","Pebulate","pesticide","Unclassified"
"957","66246-88-6","Penconazole","pesticide","Unclassified"
"958","40487-42-1","Pendimethalin","pesticide","Unclassified"
"959","85-22-3","Pentabromoethylbenzene","flameRetardant","Unclassified"
"960","87-83-2","Pentabromotoluene","flameRetardant","Unclassified"
"961","527-20-8","Pentachloroaniline","pesticide","aniline"
"962","1825-21-4","Pentachloroanisole","pesticide","Unclassified"
"963","608-93-5","Pentachlorobenzene","industrial;pesticide;pesticide","Unclassified"
"964","82-68-8","Pentachloronitrobenzene","pesticide","Unclassified"
"965","87-86-5","Pentachlorophenol","industrial;pulpAndPaper;pesticide;pesticide;pesticide","phenol"
"966","2307-68-8","Pentanochlor","pesticide","Unclassified"
"967","52645-53-1","Permethrin","pesticide","Unclassified"
"968","61949-76-6","Permethrin II","pesticide","Unclassified"
"969","72-56-0","Perthane","pesticide","Unclassified"
"970","1520-96-3","perylene-d12 - QC","flameRetardant","PAH;deuterated"
"971","15323-35-0","Phantolide","personalCare","PAH"
"972","2275-14-1","Phenkapton","pesticide","Unclassified"
"973","108-95-2","Phenol","pharmacological","phenol"
"974","92-84-2","Phenothiazine","pharmacological;industrial;pesticide;pesticide","Unclassified"
"975","51186-88-0","Phenothrin I","pesticide","Unclassified"
"976","26046-85-5","Phenothrin II","pesticide","Unclassified"
"977","122-59-8","Phenoxyacetic acid","pesticide","Unclassified"
"978","2597-03-7","Phenthoate","pesticide","Unclassified"
"979","298-02-2","Phorate","pesticide","Unclassified"
"980","2588-04-7","Phorate sulfone","pesticide","Unclassified"
"981","2588-05-8","Phorate sulfoxide","pesticide","Unclassified"
"982","2600-69-3","Phorate-oxon","pesticide","Unclassified"
"983","2310-17-0","Phosalone","pesticide","Unclassified"
"984","947-02-4","Phosfolan","pesticide","Unclassified"
"985","13171-21-6","Phosphamidon","pesticide","Unclassified"
"986","13171-21-6","Phosphamidon II","pesticide","Unclassified"
"987","27355-22-2","Phthalide","pesticide","Unclassified"
"988","85-41-6","Phthalimide","industrial;pesticide","Unclassified"
"989","14143-55-6","Picloram methyl ester","pesticide","Unclassified"
"990","137641-05-5","Picolinafen","pesticide","Unclassified"
"991","117428-22-5","Picoxystrobin","pesticide","Unclassified"
"992","83-26-1","Pindone","pesticide;pesticide","Unclassified"
"993","3478-94-2","Piperalin","pesticide","Unclassified"
"994","51-03-6","Piperonyl butoxide","pesticide","Unclassified"
"995","24151-93-7","Piperophos","pesticide","Unclassified"
"996","23103-98-2","Pirimicarb","pesticide","Unclassified"
"997","23505-41-1","Pirimiphos-ethyl","pesticide","Unclassified"
"998","29232-93-7","Pirimiphos-methyl","pesticide","Unclassified"
"999","21757-82-4","Plifenat","pesticide","Unclassified"
"1000","299-45-6","Potasan","pesticide","Unclassified"
"1001","23031-36-9","Prallethrin, cis-","pesticide","Unclassified"
"1002","999023-03-9","Prallethrin, trans-","pesticide","Unclassified"
"1003","51218-49-6","Pretilachlor","pesticide","Unclassified"
"1004","27605-76-1","Probenazole","pesticide","Unclassified"
"1005","67747-09-5","Prochloraz","industrial;pesticide","Unclassified"
"1006","32809-16-8","Procymidone","pesticide","Unclassified"
"1007","29091-21-2","Prodiamine","pesticide","Unclassified"
"1008","41198-08-7","Profenofos","pesticide","Unclassified"
"1009","3964-56-5","Profenofos metabolite (4-Bromo-2-chlorophenol)","pesticide","phenol"
"1010","26399-36-0","Profluralin","pesticide","Unclassified"
"1011","158474-72-7","Prohydrojasmon I","pesticide","Unclassified"
"1012","999060-03-6","Prohydrojasmon II","pesticide","Unclassified"
"1013","2631-37-0","Promecarb","pesticide","Unclassified"
"1014","3228-03-3","Promecarb artifact [5-isopropyl-3-methylphenol]","pesticide","phenol"
"1015","1610-18-0","Prometon","pesticide","Unclassified"
"1016","7287-19-6","Prometryn","pesticide","Unclassified"
"1017","1918-16-7","Propachlor","pesticide","Unclassified"
"1018","24579-73-5","Propamocarb","pesticide","Unclassified"
"1019","709-98-8","Propanil","pesticide","Unclassified"
"1020","7292-16-2","Propaphos","pesticide","Unclassified"
"1021","2312-35-8","Propargite","pesticide","Unclassified"
"1022","130336-40-2","Propargite metabolite [Cyclohexanol, 2-(4-tert-butylphenoxy)]","pesticide","Unclassified"
"1023","139-40-2","Propazine","pesticide","Unclassified"
"1024","94-86-0","propenyl guaethol","personalCare;consumerProduct","phenol"
"1025","31218-83-4","Propetamphos","pesticide","Unclassified"
"1026","122-42-9","Propham","pesticide","Unclassified"
"1027","999048-03-2","Propiconazole-II","pesticide","Unclassified"
"1028","86763-47-5","Propisochlor","pesticide","Unclassified"
"1029","114-26-1","Propoxur","pesticide","Unclassified"
"1030","23950-58-5","Propyzamide","pesticide","Unclassified"
"1031","52888-80-9","Prosulfocarb","pesticide","Unclassified"
"1032","999007-03-3","Prothioconazole-desthio","pesticide","Unclassified"
"1033","34643-46-4","Prothiofos","pesticide","Unclassified"
"1034","2275-18-5","Prothoate","pesticide","Unclassified"
"1035","24691-76-7","Pyracarbolid","pesticide","Unclassified"
"1036","89784-60-1","Pyraclofos","pesticide","Unclassified"
"1037","129630-19-9","Pyraflufen-ethyl","pesticide","Unclassified"
"1038","1698-60-8","Pyrazon","pesticide","Unclassified"
"1039","13457-18-6","Pyrazophos","pesticide;pesticide","Unclassified"
"1040","71561-11-0","Pyrazoxyfen","pesticide","Unclassified"
"1041","129-00-0","Pyrene","industrial","PAH"
"1042","121-21-1","Pyrethrin I","pesticide","Unclassified"
"1043","121-29-9","Pyrethrin II","pesticide","Unclassified"
"1044","88678-67-5","Pyributicarb","pesticide","Unclassified"
"1045","96489-71-3","Pyridaben","pesticide","Unclassified"
"1046","119-12-0","Pyridaphenthion","pesticide","Unclassified"
"1047","55512-33-9","Pyridate","pesticide","Unclassified"
"1048","1086-02-8","Pyridinitril","pesticide","Unclassified"
"1049","88283-41-4","Pyrifenox I","pesticide","Unclassified"
"1050","999049-03-5","Pyrifenox II","pesticide","Unclassified"
"1051","135186-78-6","Pyriftalid","pesticide","Unclassified"
"1052","53112-28-0","Pyrimethanil","pesticide","Unclassified"
"1053","105779-78-0","Pyrimidifen","pesticide","Unclassified"
"1054","136191-64-5","Pyriminobac-methyl (E)","pesticide","Unclassified"
"1055","999024-03-2","Pyriminobac-methyl (Z)","pesticide","Unclassified"
"1056","95737-68-1","Pyriproxyfen","pesticide","Unclassified"
"1057","57369-32-1","Pyroquilon","pesticide","Unclassified"
"1058","13593-03-8","Quinalphos","pesticide","Unclassified"
"1059","2797-51-5","Quinoclamine","pesticide;pesticide","OPAH"
"1060","91-22-5","Quinoline","industrial","Unclassified"
"1061","124495-18-7","Quinoxyfen","pesticide","Unclassified"
"1062","1825-19-0","Quintozene metabolite (pentachlorophenyl methyl sulfide)","pesticide","Unclassified"
"1063","76578-14-8","Quizalofop-ethyl","pesticide","Unclassified"
"1064","40341-04-6","Rabenzazole","pesticide","Unclassified"
"1065","10453-86-8","Resmethrin","pesticide","Unclassified"
"1066","999025-03-5","Resmethrine II","pesticide","Unclassified"
"1067","83-79-4","Rotenone","pesticide","Unclassified"
"1068","78-48-8","S,S,S-Tributylphosphorotrithioate","pesticide","Unclassified"
"1069","7286-69-3","Sebuthylazine","pesticide","Unclassified"
"1070","37019-18-4","Sebuthylazine-desethyl","pesticide","Unclassified"
"1071","26259-45-0","Secbumeton","pesticide","Unclassified"
"1072","105024-66-6","Silafluofen","pesticide","Unclassified"
"1073","175217-20-6","Silthiopham","pesticide","Unclassified"
"1074","122-34-9","Simazine","pesticide","Unclassified"
"1075","149508-90-7","Simeconazole","pesticide","Unclassified"
"1076","1014-70-6","Simetryn","pesticide","Unclassified"
"1077","148477-71-8","Spirodiclofen","pesticide","Unclassified"
"1078","283594-90-1","Spiromesifen","pesticide","Unclassified"
"1079","118134-30-8","Spiroxamine I","pesticide","PAH"
"1080","999026-03-8","Spiroxamine II","pesticide","Unclassified"
"1081","98-53-3","Spiroxamine metabolite (4-tert-butylcyclohexanone)","pesticide","Unclassified"
"1082","842-07-9","Sudan I","industrial","PAH"
"1083","3118-97-6","Sudan II","industrial","PAH"
"1084","1229-55-6","Sudan Red","industrial","Unclassified"
"1085","95-06-7","Sulfallate","pesticide","Unclassified"
"1086","63-74-1","Sulfanilamide","pharmacological","Unclassified"
"1087","122836-35-5","Sulfentrazone","pesticide","Unclassified"
"1088","3689-24-5","Sulfotep","pesticide","Unclassified"
"1089","10544-50-0","Sulfur (S8)","natural;pesticide","Unclassified"
"1090","35400-43-2","Sulprofos","pesticide","Unclassified"
"1091","1918-18-9","Swep","pesticide;pesticide","Unclassified"
"1092","10540-29-1","Tamoxifen","pharmacological","Unclassified"
"1093","115-96-8","TCEP","flameRetardant","OPFR"
"1094","21564-17-0","TCMTB","industrial;pesticide","Unclassified"
"1095","26248-87-3","TCPP","industrial;pulpAndPaper;flameRetardant","OPFR"
"1096","107534-96-3","Tebuconazole","pesticide","Unclassified"
"1097","119168-77-3","Tebufenpyrad","pesticide","Unclassified"
"1098","96182-53-5","Tebupirimifos","pesticide","Unclassified"
"1099","35256-85-0","Tebutam","pesticide","Unclassified"
"1100","34014-18-1","Tebuthiuron","pesticide","Unclassified"
"1101","117-18-0","Tecnazene","pesticide","Unclassified"
"1102","79538-32-2","Tefluthrin, cis-","pesticide","Unclassified"
"1103","3383-96-8","Temephos","pesticide","Unclassified"
"1104","5902-51-2","Terbacil","pesticide","Unclassified"
"1105","1918-11-2","Terbucarb","pesticide","Unclassified"
"1106","13071-79-9","Terbufos","pesticide","Unclassified"
"1107","56070-15-6","Terbufos-oxon-sulfone","pesticide","Unclassified"
"1108","56070-16-7","Terbufos-sulfone","pesticide","Unclassified"
"1109","33693-04-8","Terbumeton","pesticide","Unclassified"
"1110","5915-41-3","Terbuthylazine","pesticide","Unclassified"
"1111","30125-63-4","Terbuthylazine-desethyl","pesticide","Unclassified"
"1112","886-50-0","Terbutryn","pesticide","Unclassified"
"1113","2593-15-9","Terrazole","pesticide","Unclassified"
"1114","39569-21-6","Tetrabromo-o-chlorotoluene","flameRetardant","Unclassified"
"1115","20566-35-2","Tetrabromophthalate diol","flameRetardant","Unclassified"
"1116","877-09-8","Tetrachloro-meta-xylene - QC","pesticide","Unclassified"
"1117","2539-17-5","Tetrachloroguaiacol","industrial;pulpAndPaper","Unclassified"
"1118","961-11-5","Tetrachlorvinphos","pesticide","Unclassified"
"1119","112281-77-3","Tetraconazole","pesticide","Unclassified"
"1120","116-29-0","Tetradifon","pesticide","Unclassified"
"1121","107-49-3","Tetraethyl pyrophosphate","pharmacological;pesticide","Unclassified"
"1122","27813-21-4","Tetrahydrophthalimide, cis-1,2,3,6-","pesticide","Unclassified"
"1123","7696-12-0","Tetramethrin I","pesticide","Unclassified"
"1124","999050-03-2","Tetramethrin II","pesticide","Unclassified"
"1125","3244-90-4","Tetrapropyl thiodiphosphate","pesticide","Unclassified"
"1126","2227-13-6","Tetrasul","pesticide","Unclassified"
"1127","96491-05-3","Thenylchlor","pesticide","Unclassified"
"1128","83-67-0","Theobromine","pharmacological","Unclassified"
"1129","148-79-8","Thiabendazole","pharmacological;pesticide","Unclassified"
"1130","117718-60-2","Thiazopyr","pesticide","Unclassified"
"1131","130000-40-7","Thifluzamide","pesticide","Unclassified"
"1132","39196-18-4","Thiofanox","pesticide","Unclassified"
"1133","640-15-3","Thiometon","pesticide","Unclassified"
"1134","297-97-2","Thionazin","pesticide","Unclassified"
"1135","89-83-8","Thymol","pharmacological","Unclassified"
"1136","60207-90-1","Tilt","pesticide","Unclassified"
"1137","36756-79-3","Tiocarbazil I","pesticide","Unclassified"
"1138","999051-03-5","Tiocarbazil II","pesticide","Unclassified"
"1139","57018-04-9","Tolclofos-methyl","pesticide","Unclassified"
"1140","129558-76-5","Tolfenpyrad","pesticide","Unclassified"
"1141","731-27-1","Tolylfluanid","pesticide","Unclassified"
"1142","66840-71-9","Tolylfluanid metabolite (DMST)","pesticide","Unclassified"
"1143","29878-31-7","Tolyltriazole [1H-Benzotriazole, 4-methyl-]","industrial","Unclassified"
"1144","136-85-6","Tolyltriazole [1H-Benzotriazole, 5-methyl-]","industrial","Unclassified"
"1145","1506-02-1","Tonalide","personalCare","Unclassified"
"1146","142534-71-2","Toxaphene Parlar 26","pesticide","Unclassified"
"1147","66860-80-8","Toxaphene Parlar 50","pesticide","Unclassified"
"1148","154159-06-5","Toxaphene Parlar 62","pesticide","Unclassified"
"1149","115-86-6","TPP","industrial;flameRetardant","OPFR"
"1150","39765-80-5","trans-Nonachlor","pesticide","Unclassified"
"1151","118712-89-3","Transfluthrin","pesticide","Unclassified"
"1152","68140-48-7","Traseolide","personalCare","Unclassified"
"1153","78-32-0","Tri-p-tolyl phosphate","industrial","Unclassified"
"1154","43121-43-3","Triadimefon","pesticide","Unclassified"
"1155","55219-65-3","Triadimenol","pesticide","Unclassified"
"1156","2303-17-5","Triallate","pesticide","Unclassified"
"1157","1031-47-6","Triamiphos","pesticide;pesticide","Unclassified"
"1158","76608-88-3","Triapenthenol","pesticide","Unclassified"
"1159","112143-82-5","Triazamate","pesticide","Unclassified"
"1160","24017-47-8","Triazophos","pesticide","Unclassified"
"1161","1522-92-5","Tribromoneopentyl alcohol","flameRetardant","Unclassified"
"1162","126-73-8","Tributyl phosphate","industrial;flameRetardant","OPFR"
"1163","70193-21-4","Trichlamide","pesticide","Unclassified"
"1164","52-68-6","Trichlorfon","pesticide","Unclassified"
"1165","327-98-0","Trichloronate","pesticide","Unclassified"
"1166","2539-26-6","Trichlorosyringol","industrial;pulpAndPaper","Unclassified"
"1167","60825-26-5","Triclopyr methyl ester","pesticide","Unclassified"
"1168","3380-34-5","Triclosan","pharmacological;personalCare;industrial","Unclassified"
"1169","4640-01-1","Triclosan-methyl","pesticide","Unclassified"
"1170","563-04-2","Tricresylphosphate, meta-","industrial;flameRetardant","Unclassified"
"1171","78-30-8","Tricresylphosphate, ortho-","industrial;flameRetardant","OPFR"
"1172","41814-78-2","Tricyclazole","pesticide","Unclassified"
"1173","24602-86-6","Tridemorph , 4-tridecyl-","pesticide","Unclassified"
"1174","58138-08-2","Tridiphane","pesticide","Unclassified"
"1175","1912-26-1","Trietazine","pesticide","Unclassified"
"1176","78-40-0","Triethyl phosphate","industrial;pesticide;flameRetardant","OPFR"
"1177","1420-06-0","Trifenmorph","pesticide","Unclassified"
"1178","141517-21-7","Trifloxystrobin","pesticide","Unclassified"
"1179","68694-11-1","Triflumizole","pesticide","Unclassified"
"1180","1582-09-8","Trifluralin","pesticide","Unclassified"
"1181","78-51-3","Tris(2-butoxyethyl) phosphate","industrial","Unclassified"
"1182","78-42-2","Tris(2-ethylhexyl) phosphate","industrial;flameRetardant","Unclassified"
"1183","131983-72-7","Triticonazole","pesticide","Unclassified"
"1184","64470-88-8","Tryclopyrbutoxyethyl","pesticide","Unclassified"
"1185","64529-56-2","Tycor (SMY 1500)","pesticide","Unclassified"
"1186","83657-17-4","Uniconizole-P","pesticide","Unclassified"
"1187","2275-23-2","Vamidothion","pesticide;pesticide","Unclassified"
"1188","1929-77-7","Vernolate","pesticide","Unclassified"
"1189","50471-44-8","Vinclozolin","pesticide","Unclassified"
"1190","2425-10-7","XMC (3,4-Dimethylphenyl N-methylcarbamate)","pesticide","Unclassified"
"1191","2655-14-3","XMC (3,5-Dimethylphenyl N-methylcarbamate)","pesticide","Unclassified"
"1192","14324-55-1","Zinc diethyldithiocarbamate","personalCare;industrial","Unclassified"
"1193","156052-68-5","Zoxamide","pesticide","Unclassified"
"1194","999006-03-0","Zoxamide decomposition product","pesticide","Unclassified"
"1195","39227-53-7","1-Chlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1196","832-69-9","1-methylphenanthrene",NA,"PAH"
"1197","2381-21-7","1-methylpyrene",NA,"PAH"
"1198","5522-43-0","1-Nitropyrene",NA,"PAH"
"1199","93487-20-8","1-Nitropyrene-D9 - QC",NA,"PAH;deuterated"
"1200","54536-18-4","1,2-Dichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1201","573-98-8","1,2-dimethylnaphthalene",NA,"PAH"
"1202","54536-17-3","1,2,3-Trichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1203","30746-58-8","1,2,3,4-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1204","24478-72-6","1,2,3,4-Tetrachlorodibenzofuran",NA,"dioxinsAndFurans"
"1205","58200-66-1","1,2,3,4,6,7-Hexachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1206","35822-46-9","1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1207","38998-75-3","1,2,3,4,6,7,8-Heptachlorodibenzofuran",NA,"dioxinsAndFurans"
"1208","3268-87-9","1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1209","39001-02-0","1,2,3,4,6,7,8,9-Octachlorodibenzofuran",NA,"dioxinsAndFurans"
"1210","58200-70-7","1,2,3,4,6,7,9-Heptachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1211","39227-61-7","1,2,3,4,7-Pentachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1212","39227-28-6","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1213","55684-94-1","1,2,3,4,7,8-Hexachlorodibenzofuran",NA,"dioxinsAndFurans"
"1214","57653-85-7","1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1215","40321-76-4","1,2,3,7,8-Pentachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1216","57117-41-6","1,2,3,7,8-Pentachlorodibenzofuran",NA,"dioxinsAndFurans"
"1217","19408-74-3","1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1218","71925-18-3","1,2,3,8,9-Pentachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1219","39227-58-2","1,2,4-Trichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1220","39227-62-8","1,2,4,6,7,9/1,2,4,6,8,9-Hexachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1221","71998-76-0","1,2,4,6,8/1,2,4,7,9-Pentachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1222","58802-08-7","1,2,4,7,8-Pentachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1223","41903-57-5","1,2,6,7-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1224","67323-56-2","1,2,6,8-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1225","34816-53-0","1,2,7,8-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1226","116889-69-1","1,2,8,9-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1227","50585-39-2","1,3-Dichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1228","75321-20-9","1,3-Dinitropyrene",NA,"PAH"
"1229","33423-92-6","1,3,6,8-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1230","30402-14-3","1,3,6,8-Tetrachlorodibenzofuran",NA,"dioxinsAndFurans"
"1231","50585-46-1","1,3,7,8-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1232","116889-70-4","1,3,7,9-Tetrachlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1233","635-12-1","1,4-Anthraquinone",NA,"OPAH"
"1234","54536-19-5","1,4-Dichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1235","571-58-4","1,4-dimethylnaphthalene",NA,"PAH"
"1236","262-16-8","1,4-Dioxino(2,3,b,5,6,b')dipyridine",NA,"dioxinsAndFurans"
"1237","130-15-4","1,4-Naphthoquinone",NA,"OPAH"
"1238","571-61-9","1,5-dimethylnaphthalene",NA,"PAH"
"1239","3067-13-8","1,6-Benzo(a)pyrene-quinone",NA,"OPAH"
"1240","38178-38-0","1,6-Dichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1241","575-43-9","1,6-dimethylnaphthalene",NA,"PAH"
"1242","42397-64-8","1,6-Dinitropyrene",NA,"PAH"
"1243","82306-65-8","1,7,8-Trichlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1244","569-41-5","1,8-dimethylnaphthalene",NA,"PAH"
"1245","42397-65-9","1,8-Dinitropyrene",NA,"PAH"
"1246","39227-54-8","2-Chlorodibenzo-p-dioxin",NA,"dioxinsAndFurans"
"1247","51230-49-0","2-chlorodibenzofuran",NA,"dioxinsAndFurans"
"1248","939-27-5","2-ethylnaphthalene",NA,"PAH"
